entry,x2_max,x3_max,log2fc,abs_log2fc,Change
Q92752,13.45393,3.453142,10.000788,10.000788,Increase
P00387,20.56071,10.6606,9.90011,9.90011,Increase
Q96IZ6,20.11322,10.29102,9.822199999999999,9.822199999999999,Increase
P53667,20.72164,11.48105,9.240590000000001,9.240590000000001,Increase
O15075,21.20711,12.06947,9.13764,9.13764,Increase
Q7Z406,18.39882,9.415176,8.983644,8.983644,Increase
Q86UP3,16.127,7.380106,8.746894,8.746894,Increase
P04264,18.43299,10.11723,8.315760000000001,8.315760000000001,Increase
O76074,20.2001,12.32761,7.872489999999999,7.872489999999999,Increase
P27105,20.09875,12.25327,7.8454799999999985,7.8454799999999985,Increase
P17658,19.33613,11.50167,7.83446,7.83446,Increase
Q9UKF7,21.10499,13.29912,7.8058700000000005,7.8058700000000005,Increase
Q9HCN4,23.42952,15.69352,7.736000000000001,7.736000000000001,Increase
P24833,18.85629,11.21329,7.643000000000001,7.643000000000001,Increase
Q5VUA4,23.18612,15.66626,7.5198599999999995,7.5198599999999995,Increase
Q00796,22.3792,14.92474,7.454460000000001,7.454460000000001,Increase
P69905,23.49789,16.0896,7.408290000000001,7.408290000000001,Increase
Q9P2D0,23.44639,16.05595,7.390440000000002,7.390440000000002,Increase
Q6ZNE5,20.13867,12.76292,7.375750000000002,7.375750000000002,Increase
O95897,17.28888,9.964609,7.3242709999999995,7.3242709999999995,Increase
Q96LZ3,21.36055,14.0646,7.2959499999999995,7.2959499999999995,Increase
Q9BVA6,20.03461,12.75431,7.2803,7.2803,Increase
Q9Y4G2,20.1056,12.84444,7.2611599999999985,7.2611599999999985,Increase
O00763,20.28108,13.09276,7.188319999999999,7.188319999999999,Increase
A8MWX3,21.47188,14.34507,7.126809999999999,7.126809999999999,Increase
P05997,20.87646,13.82084,7.055620000000001,7.055620000000001,Increase
Q7RTS9,22.55252,15.55995,6.992570000000001,6.992570000000001,Increase
P0DMU2,21.15435,14.24343,6.910920000000001,6.910920000000001,Increase
P23468,16.99078,10.19411,6.796670000000001,6.796670000000001,Increase
P28340,22.57747,15.78254,6.794930000000003,6.794930000000003,Increase
Q6P995,18.1136,11.35199,6.761610000000001,6.761610000000001,Increase
P40763,19.80968,13.10682,6.702859999999999,6.702859999999999,Increase
A6NN90,19.62924,13.00273,6.62651,6.62651,Increase
Q96CN4,20.38518,13.83925,6.5459299999999985,6.5459299999999985,Increase
Q14332,16.52208,9.994723,6.5273569999999985,6.5273569999999985,Increase
Q8IYU8,20.61139,14.16462,6.446770000000001,6.446770000000001,Increase
Q8NGA1,19.26987,12.84093,6.428940000000001,6.428940000000001,Increase
Q8N3I7,20.36793,14.01013,6.357800000000001,6.357800000000001,Increase
P02746,19.5458,13.26902,6.2767800000000005,6.2767800000000005,Increase
Q96PQ0,21.14641,14.98219,6.16422,6.16422,Increase
O95602,18.81333,12.66829,6.14504,6.14504,Increase
P01834,23.0258,16.90456,6.12124,6.12124,Increase
Q9HBL8,20.71498,14.599,6.11598,6.11598,Increase
P23246,24.63662,18.53979,6.096830000000001,6.096830000000001,Increase
Q16581,19.92569,13.85821,6.06748,6.06748,Increase
Q9P1Y6,19.61788,13.55406,6.06382,6.06382,Increase
Q13428,21.71044,15.64964,6.060799999999999,6.060799999999999,Increase
Q4ZHG4,18.74859,12.70863,6.039960000000001,6.039960000000001,Increase
Q9Y3S1,20.24761,14.21893,6.028680000000001,6.028680000000001,Increase
P38398,21.92362,15.91267,6.010949999999999,6.010949999999999,Increase
Q96QZ7,8.459421,16.65107,-8.191649,8.191649,Decrease
Q14585,8.797442,16.87901,-8.081568,8.081568,Decrease
P49916,5.547535,12.63562,-7.0880849999999995,7.0880849999999995,Decrease
P59797,9.837648,16.8079,-6.970252,6.970252,Decrease
Q6P1L5,11.63423,17.4783,-5.84407,5.84407,Decrease
O94956,9.709359,15.48226,-5.772901000000001,5.772901000000001,Decrease
Q9UF33,12.78372,18.55272,-5.769,5.769,Decrease
P51812,11.66012,17.3548,-5.694680000000002,5.694680000000002,Decrease
A3KN83,16.78152,22.4742,-5.692679999999999,5.692679999999999,Decrease
Q8N119,9.271099,14.91887,-5.6477710000000005,5.6477710000000005,Decrease
Q96CV9,10.56446,16.21162,-5.6471599999999995,5.6471599999999995,Decrease
P46100,11.19291,16.82936,-5.636450000000002,5.636450000000002,Decrease
P25963,11.49418,17.12308,-5.628900000000002,5.628900000000002,Decrease
Q9BSJ8,17.62121,23.19464,-5.573429999999998,5.573429999999998,Decrease
Q8TDG2,12.21541,17.7734,-5.557989999999998,5.557989999999998,Decrease
P17020,10.14223,15.45862,-5.31639,5.31639,Decrease
Q8N5J2,11.77396,16.97502,-5.20106,5.20106,Decrease
Q659C4,9.585759,14.61563,-5.029871,5.029871,Decrease
O95980,9.332468,14.24094,-4.908472,4.908472,Decrease
Q9NQ66,9.701266,14.54061,-4.839343999999999,4.839343999999999,Decrease
P43121,9.151935,13.93454,-4.782605,4.782605,Decrease
P21397,12.49728,17.2522,-4.7549199999999985,4.7549199999999985,Decrease
Q8N9K5,12.52653,17.22459,-4.69806,4.69806,Decrease
Q8N392,10.09269,14.63284,-4.540150000000001,4.540150000000001,Decrease
Q9GZV8,13.2879,17.64173,-4.3538299999999985,4.3538299999999985,Decrease
Q9UNS1,14.35129,18.67545,-4.324160000000001,4.324160000000001,Decrease
O94885,12.13758,16.37319,-4.235610000000001,4.235610000000001,Decrease
Q2TAC6,11.29998,15.50088,-4.200900000000001,4.200900000000001,Decrease
Q9BYG8,12.9212,17.09858,-4.177379999999998,4.177379999999998,Decrease
Q8N998,15.27218,19.42302,-4.1508400000000005,4.1508400000000005,Decrease
Q92989,14.08828,18.23108,-4.142799999999999,4.142799999999999,Decrease
Q96LW9,12.76472,16.86601,-4.101289999999999,4.101289999999999,Decrease
Q92629,11.93816,16.01408,-4.07592,4.07592,Decrease
Q6N043,13.97301,18.04835,-4.075339999999999,4.075339999999999,Decrease
P48380,11.48858,15.45576,-3.967179999999999,3.967179999999999,Decrease
Q2WGJ9,12.53932,16.42053,-3.8812099999999994,3.8812099999999994,Decrease
Q8WXE1,11.33626,15.19805,-3.861790000000001,3.861790000000001,Decrease
Q8N720,12.40007,16.25533,-3.8552600000000012,3.8552600000000012,Decrease
Q5W0B1,15.30852,19.153,-3.844479999999999,3.844479999999999,Decrease
O95967,11.88625,15.72896,-3.8427100000000003,3.8427100000000003,Decrease
Q58FF7,13.84628,17.6717,-3.825420000000001,3.825420000000001,Decrease
Q14738,19.08134,22.88794,-3.8065999999999995,3.8065999999999995,Decrease
Q96QU6,13.11654,16.90313,-3.7865900000000003,3.7865900000000003,Decrease
O43184,14.70795,18.47859,-3.77064,3.77064,Decrease
Q99797,16.91766,20.66617,-3.7485099999999996,3.7485099999999996,Decrease
Q99627,13.29886,17.00776,-3.7089000000000016,3.7089000000000016,Decrease
O60437,13.4306,17.10456,-3.6739599999999992,3.6739599999999992,Decrease
A4D1P6,13.54647,17.19397,-3.647500000000001,3.647500000000001,Decrease
P14410,14.8569,18.43741,-3.5805100000000003,3.5805100000000003,Decrease
O14972,10.05962,13.62082,-3.5611999999999995,3.5611999999999995,Decrease
