entry,nc_max,x_max,log2fc,abs_log2fc,Change
Q9Y5A7,27.40403,17.60961,9.794419999999999,9.794419999999999,Increase
P19971,25.48663,16.8559,8.630730000000003,8.630730000000003,Increase
Q8WWM7,24.75403,16.23761,8.51642,8.51642,Increase
P42858,22.78509,14.63044,8.15465,8.15465,Increase
A6NHR8,23.73821,15.59188,8.146329999999999,8.146329999999999,Increase
Q9H6R0,24.4396,16.40035,8.03925,8.03925,Increase
Q96ST8,23.34195,15.68693,7.65502,7.65502,Increase
Q7Z7G1,22.11313,14.54155,7.571580000000001,7.571580000000001,Increase
Q8WWM9,23.72483,16.1608,7.5640300000000025,7.5640300000000025,Increase
O94822,22.92495,15.65884,7.266109999999999,7.266109999999999,Increase
Q9H8N7,24.10788,17.05137,7.056510000000003,7.056510000000003,Increase
Q15390,22.63472,15.61505,7.019670000000001,7.019670000000001,Increase
Q6P2E9,21.20522,14.35207,6.853150000000001,6.853150000000001,Increase
Q15147,20.4077,13.55616,6.851539999999998,6.851539999999998,Increase
Q9NRL2,22.24574,15.42552,6.820220000000001,6.820220000000001,Increase
O95490,23.73079,16.92432,6.806469999999997,6.806469999999997,Increase
Q9H6B4,23.18299,16.44346,6.7395299999999985,6.7395299999999985,Increase
O75179,22.41017,15.68588,6.724290000000002,6.724290000000002,Increase
Q9Y570,22.20585,15.49784,6.708010000000002,6.708010000000002,Increase
P47736,22.8486,16.15482,6.69378,6.69378,Increase
O00443,21.76652,15.0782,6.688319999999999,6.688319999999999,Increase
Q8NGT0,22.21526,15.58873,6.626530000000001,6.626530000000001,Increase
O60675,24.45913,17.856,6.603129999999997,6.603129999999997,Increase
Q9Y4B5,22.92403,16.36287,6.561159999999997,6.561159999999997,Increase
Q14008,24.9173,18.36398,6.553319999999999,6.553319999999999,Increase
Q6IQ22,21.2306,14.69996,6.530639999999998,6.530639999999998,Increase
P01619,21.89801,15.37463,6.5233799999999995,6.5233799999999995,Increase
P17707,21.5909,15.12328,6.467620000000002,6.467620000000002,Increase
Q6ISB3,24.71116,18.26422,6.446939999999998,6.446939999999998,Increase
Q9H7Z3,23.7475,17.3081,6.439399999999999,6.439399999999999,Increase
Q9UFD9,24.84213,18.40721,6.434920000000002,6.434920000000002,Increase
Q8N0X7,24.92562,18.4935,6.432119999999998,6.432119999999998,Increase
P01282,22.98296,16.56788,6.41508,6.41508,Increase
Q14108,24.4824,18.07144,6.410959999999999,6.410959999999999,Increase
Q6ZN19,22.53616,16.13773,6.398429999999998,6.398429999999998,Increase
P01857,24.21232,17.81871,6.393609999999999,6.393609999999999,Increase
O60266,21.11351,14.74209,6.371420000000002,6.371420000000002,Increase
A0AUZ9,23.35575,16.9935,6.3622499999999995,6.3622499999999995,Increase
P46087,22.34707,15.98723,6.359839999999998,6.359839999999998,Increase
P52849,23.62143,17.29804,6.32339,6.32339,Increase
B2RTY4,21.70791,15.38664,6.321269999999998,6.321269999999998,Increase
Q99996,24.57686,18.25642,6.320440000000001,6.320440000000001,Increase
P35606,25.63906,19.3349,6.3041599999999995,6.3041599999999995,Increase
Q7Z333,21.98498,15.69146,6.293520000000001,6.293520000000001,Increase
Q9Y4K1,22.69772,16.40551,6.292210000000001,6.292210000000001,Increase
P05771,22.34145,16.07151,6.269939999999998,6.269939999999998,Increase
Q8TEM1,24.53915,18.27828,6.260870000000001,6.260870000000001,Increase
P17019,22.03048,15.80551,6.224970000000001,6.224970000000001,Increase
Q9ULG1,24.78436,18.56392,6.22044,6.22044,Increase
Q8NH01,22.50031,16.29369,6.206619999999997,6.206619999999997,Increase
P23246,12.95817,24.63662,-11.67845,11.67845,Decrease
Q13118,7.332071,16.37961,-9.047539,9.047539,Decrease
A4D161,14.87512,22.16938,-7.2942599999999995,7.2942599999999995,Decrease
Q5VZE5,12.90578,20.00596,-7.100180000000002,7.100180000000002,Decrease
Q8TD10,11.24784,18.2451,-6.997260000000001,6.997260000000001,Decrease
P02746,12.86442,19.5458,-6.681379999999999,6.681379999999999,Decrease
P02768,13.90801,20.41414,-6.506129999999999,6.506129999999999,Decrease
Q8IYU8,14.36577,20.61139,-6.245620000000001,6.245620000000001,Decrease
Q96EP0,14.56905,20.53641,-5.967359999999999,5.967359999999999,Decrease
Q96SF7,13.5265,19.26956,-5.743059999999998,5.743059999999998,Decrease
Q8WV37,16.53216,22.00331,-5.471149999999998,5.471149999999998,Decrease
Q5T2R2,13.47886,18.93801,-5.459149999999999,5.459149999999999,Decrease
O95425,13.42035,18.75791,-5.33756,5.33756,Decrease
Q8WXR4,15.00215,20.31641,-5.314260000000001,5.314260000000001,Decrease
Q8N9B5,17.00366,22.26924,-5.26558,5.26558,Decrease
Q01415,13.48128,18.74393,-5.262649999999999,5.262649999999999,Decrease
Q9UKV8,12.45702,17.70719,-5.250170000000001,5.250170000000001,Decrease
O94983,12.11539,17.3544,-5.239009999999999,5.239009999999999,Decrease
Q5TH74,13.10417,18.32072,-5.216550000000002,5.216550000000002,Decrease
Q96MR9,12.45946,17.61462,-5.155159999999999,5.155159999999999,Decrease
Q8IYE1,12.4308,17.54443,-5.113629999999999,5.113629999999999,Decrease
O75592,15.80632,20.89193,-5.085609999999999,5.085609999999999,Decrease
Q8NI51,12.45266,17.51915,-5.06649,5.06649,Decrease
Q9H1X3,10.15294,15.21934,-5.066400000000002,5.066400000000002,Decrease
Q6IA69,14.87217,19.90531,-5.0331399999999995,5.0331399999999995,Decrease
O95932,14.38311,19.40324,-5.02013,5.02013,Decrease
Q8N3E9,16.11402,21.04192,-4.927900000000001,4.927900000000001,Decrease
P29597,10.24059,15.11852,-4.877930000000001,4.877930000000001,Decrease
Q8NG31,13.99248,18.7929,-4.800419999999999,4.800419999999999,Decrease
Q9UIR0,13.08011,17.83614,-4.756030000000001,4.756030000000001,Decrease
P12645,15.16946,19.86787,-4.698409999999999,4.698409999999999,Decrease
P54136,15.19037,19.87715,-4.686780000000001,4.686780000000001,Decrease
Q15020,13.3893,18.04863,-4.659329999999999,4.659329999999999,Decrease
P12110,15.85046,20.45337,-4.60291,4.60291,Decrease
O60830,13.25161,17.79075,-4.53914,4.53914,Decrease
Q00796,17.87548,22.3792,-4.503720000000001,4.503720000000001,Decrease
Q8TD26,13.29751,17.77372,-4.47621,4.47621,Decrease
Q7Z3S7,15.31541,19.78791,-4.4725,4.4725,Decrease
Q15061,13.51045,17.98227,-4.471819999999999,4.471819999999999,Decrease
Q3T906,14.6799,19.1225,-4.442599999999999,4.442599999999999,Decrease
Q8NEY8,12.77557,17.21642,-4.440849999999999,4.440849999999999,Decrease
Q7Z4H7,13.46743,17.90746,-4.44003,4.44003,Decrease
Q6ZR08,16.07413,20.49433,-4.420200000000001,4.420200000000001,Decrease
P40692,15.72775,20.12837,-4.40062,4.40062,Decrease
Q8N3Z3,12.90332,17.29281,-4.389489999999999,4.389489999999999,Decrease
Q96N96,17.05332,21.41365,-4.360330000000001,4.360330000000001,Decrease
Q9UKA4,12.55385,16.91397,-4.360119999999998,4.360119999999998,Decrease
Q8N3J2,18.26929,22.60104,-4.3317499999999995,4.3317499999999995,Decrease
P0DJD3,12.07362,16.36182,-4.288200000000002,4.288200000000002,Decrease
A6NN90,15.42552,19.62924,-4.203719999999999,4.203719999999999,Decrease
